local_authority 	total-cases
Birmingham 	364
Lambeth 	178
Wandsworth 	152
Leicester 	124
Harrow 	99
Croydon 	98
Leeds 	79
Hertfordshire 	78
Brent 	75
Essex 	70
Enfield 	65
Middlesbrough 	55
Southwark 	55
Walsall 	55
Bristol 	53
Lewisham 	43
Hillingdon 	42
Merton 	42
Surrey 	40
Ealing 	35
Hounslow 	35
Waltham Forest 	34
Newham 	31
Sandwell 	31
Barnet 	30
Coventry 	28
Greenwich 	26
Haringey 	25
Kensington and Chelsea 	25
Luton 	25
Camden 	24
Hammersmith and Fulham 	24
Gloucestershire 	23
Sutton 	23
Westminster 	23
Wolverhampton 	22
Bradford 	21
Bexley 	20
Lancashire 	20
Hackney 	19
Milton Keynes 	19
Nottingham 	19
West Northamptonshire 	19
Central Bedfordshire 	17
Manchester 	16
Solihull 	16
Tower Hamlets 	16
Leicestershire 	15
Hampshire 	14
Redbridge 	14
Doncaster 	13
Southampton 	13
Staffordshire 	13
Thurrock 	13
Kingston upon Thames 	12
Nottinghamshire 	12
Bromley 	11
Islington 	11
Kent 	11
Kingston upon Hull 	11
North Northamptonshire 	11
Somerset 	11
Stockport 	11
North Yorkshire 	10